RecID,fname,lname,mname,address,city,state,zip,ssn
A944634,IAN,AADLAND,LARS,29021  HIGH SIERRA TRL   ,SANTA CLARITA,CA,91390,490-46-2048
B943052,IAN LARS AADLAND,7715,ABINGTON DR,KERNERSVILLE,NC,27284,8/25/11,
B890273,KAVASSANA HIKARI AANAI,2165,MAURINE WAY,WINSTON SALEM,NC,27127,4/6/06,
B986579,JUDY ANN AANSTAD,221,HARMON CT,WINSTON SALEM,NC,27106,9/11/08,
A755471,MYRA,AARGAARD-ESPERSEN,,1224 MAGNOLIA ST,WINSTON SALEM,NC,27103,117-15-8521
A912696,MYRA,AAARGAARD-ESPERSEN,,1224 MAGNOLIA ST,WINSTON SALEM,NC,27103,117158521
B773835,MYRA NA AARGAARD-ESPERSEN,1224,MAGNOLIA ST,WINSTON SALEM,NC,27103,10/7/27,
B928031,MYRA NA AARGAARD-ESPERSEN,1224,MAGNOLIA ST,WINSTON SALEM,NC,27103,10/7/27,
B958535, NA AARGAARD-ESPERSEN,1086, BONITA ST   ,TUSTIN,CA,92780,1927107,
A813025,ALLEN,AARON,IKAIKA,3830 COUNTRY CLUB RD # J,WINSTON SALEM,NC,27104,
A824917,ANDREW,AARON,STEPHEN,2475 spicewood dr,winston salem,nc,27106,601-70-6106
A875214,ANDREEW,AARON,STEPHEN,2475 SPICEWOOD DR,WINSTON SALEM,NC,27106,601-70-6106
B889399,ANDREW STEPHEN AARON,2475,SPICEWOOD DR,WINSTON SALEM,NC,27106,3/21/17,
B913514,ANDREW STEPHEN AARON,2475,SPICEWOOD DR,WINSTON SALEM,NC,27106,1917321,
B994234,Andrew Stephen Aaron,2475,SPICEWOOD DR,WINSTON SALEM,NC,27106,3/21/17,
A914099,,AARON,D,1117 E SEVENTEENTH ST,WINSTON SALEM,NC,27105,636-32-8781
B821101,ANGELA  AARON,1117,E SEVENTEENTH ST,WINSTON SALEM,NC,27105,7/7/16,
B877530,ANGELA DENSIE AARON,1117,E SEVENTEENTH ST,WINSTON SALEM,NC,27105,7/7/16,
B894387,ANGELA DENSIE AARON,1117,E SEVENTEENTH ST,WINSTON SALEM,NC,27105,7/7/16,
B873920,ANINA ROSSOUW AARON,1740,ABBOTTSFORD DR,KERNERSVILLE,NC,27284,4/22/15,
B900093,ANINA ROSSOUW AARON,1740,ABBOTTSFORD DR,KERNERSVILLE,NC,27284,,
B994615,ANINA ROSSOUW AARON,1740,ABBOTTSFORD DR,KERNERSVILLE,NC,27284,4/22/15,
A812219,CELIA,AARON,,1106  LASSEN DR   ,HANFORD,CA,93230,344-37-4232
B762881,Celia Kay Aaron,6965,WEST RD,WALNUT COVE,NC,27052,12/28/41,
